indice;es;en;fr;pt
lang;es-LA;en-US;fr-FR;pt-BR
PageDescription;Sistema Web;Web System;Système Web;Sistema da Web
Author;Departamento de Tecnología.;Departamento de Tecnología.;Departamento de Tecnología.;Departamento de Tecnología.
firstname;Nombre;First Name;-0;-0
lastname;Apellido;Last Name;-0;-0
email;Correo Electronico;Email Address;-0;-0
phone;Numero Telefonico;Phone Number;-0;-0
password;Contraseña;Password;-0;-0
confpassword;Confirmar Contraseña;Confirm Password;-0;-0
rememberpassword;Recordar Contraseña;Remember password;-0;-0
signinbtn;Inicia Sesión.;Sign In.;-0;-0
signupbtn;Crear Cuenta de Usuario;Create your Account User;-0;-0
or;También;Also;-0;-0
signingooglebtn;Inicia Sesión con Cuenta de Google;Enter with google;-0;-0
signupgooglebtn;Regristro con Cuenta de Google;Continue with google;-0;-0
toglein;¿Ya estas Registrado?;Already Registered?;-0;-0
togleup;¿No tienes cuenta?;You do not have an account?;-0;-0
togleinbtn;Entra Aqui;Enter Here;-0;-0
togleupbtn;Registrate aqui;Sign Up Here;-0;-0
